Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
138046,134105.0,-3941.0,-2.85484549
81789,77878.0,-3911.0,-4.78181663
81346,77182.0,-4164.0,-5.11887493
89293,85268.0,-4025.0,-4.50763218
98747,94733.0,-4014.0,-4.06493362
95302,91281.0,-4021.0,-4.2192189
97415,93263.0,-4152.0,-4.26217728
104712,100600.0,-4112.0,-3.92696157
104022,99895.0,-4127.0,-3.96742997
204470,201112.0,-3358.0,-1.64229471
271522,269015.0,-2507.0,-0.92331376
379387,377061.0,-2326.0,-0.61309428
295792,293302.0,-2490.0,-0.84180776
209518,206557.0,-2961.0,-1.41324373
250343,247975.0,-2368.0,-0.94590222
295086,292385.0,-2701.0,-0.91532638
2796790,2741612.0,-55178.0,-1.97290465
