Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
213181,205837.0,-7344.0,-3.44495992
143011,135901.0,-7110.0,-4.97164554
133872,126921.0,-6951.0,-5.19227322
146375,138638.0,-7737.0,-5.28573868
144362,137101.0,-7261.0,-5.02971696
144016,136627.0,-7389.0,-5.13067992
147980,140336.0,-7644.0,-5.16556291
148734,141202.0,-7532.0,-5.06407412
142606,134953.0,-7653.0,-5.36653437
267880,260160.0,-7720.0,-2.88188741
380023,373437.0,-6586.0,-1.733053
526478,520914.0,-5564.0,-1.05683428
395918,389419.0,-6499.0,-1.64150152
283766,276622.0,-7144.0,-2.51756729
349229,342834.0,-6395.0,-1.83117668
440582,434397.0,-6185.0,-1.40382494
4008013,3895299.0,-112714.0,-2.81221643
