Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
51184,44060.0,-7124.0,-13.918412
38438,32471.0,-5967.0,-15.5237005
36774,30144.0,-6630.0,-18.02904226
41040,34004.0,-7036.0,-17.14424951
49074,41953.0,-7121.0,-14.51073888
41809,34463.0,-7346.0,-17.57037958
43021,35797.0,-7224.0,-16.79179935
45169,37811.0,-7358.0,-16.28993336
45033,38081.0,-6952.0,-15.43756801
91322,83239.0,-8083.0,-8.85109831
115375,107511.0,-7864.0,-6.81603467
157122,150520.0,-6602.0,-4.20183042
122949,115197.0,-7752.0,-6.30505331
82601,74550.0,-8051.0,-9.74685536
97957,90269.0,-7688.0,-7.84834162
101847,94863.0,-6984.0,-6.85734484
1160715,1044933.0,-115782.0,-9.97505848
