Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
129327,125868,-3459,-2.67461551
104751,101335,-3416,-3.26106672
81782,78119,-3663,-4.4789807
88839,85229,-3610,-4.06353066
78987,75333,-3654,-4.62607771
73660,69984,-3676,-4.99049688
72642,68908,-3734,-5.14027697
68096,64435,-3661,-5.37623355
69972,66415,-3557,-5.08346196
123257,119653,-3604,-2.92397186
159890,156588,-3302,-2.0651698
207337,204367,-2970,-1.43245055
155770,152435,-3335,-2.14097708
107400,103873,-3527,-3.2839851
129837,126854,-2983,-2.29749609
131621,128589,-3032,-2.30358377
1783168,1727985,-55183,-3.09466074
