Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
100403,98450.0,-1953.0,-1.945161
58390,56629.0,-1761.0,-3.01592738
51467,49624.0,-1843.0,-3.58093536
53091,51131.0,-1960.0,-3.6917745
56239,54124.0,-2115.0,-3.76073543
57693,55618.0,-2075.0,-3.59662351
61126,58990.0,-2136.0,-3.49442136
60400,58274.0,-2126.0,-3.51986755
62470,60296.0,-2174.0,-3.48007043
125870,123890.0,-1980.0,-1.57305156
181884,180349.0,-1535.0,-0.84394449
280693,279770.0,-923.0,-0.32882901
253323,252100.0,-1223.0,-0.48278285
197609,196104.0,-1505.0,-0.76160499
290282,289196.0,-1086.0,-0.37411896
448570,447462.0,-1108.0,-0.24700716
2339510,2312007.0,-27503.0,-1.17558805
