Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
120477,110688.0,-9789.0,-8.12520232
98937,89672.0,-9265.0,-9.36454511
91069,81497.0,-9572.0,-10.51071166
97217,87431.0,-9786.0,-10.0661407
97412,87320.0,-10092.0,-10.3601199
98968,88617.0,-10351.0,-10.45893622
102836,92919.0,-9917.0,-9.64351005
101311,91021.0,-10290.0,-10.15684378
98558,88236.0,-10322.0,-10.47302096
184381,173718.0,-10663.0,-5.78313384
250629,241477.0,-9152.0,-3.65161254
329782,321819.0,-7963.0,-2.41462542
248977,239499.0,-9478.0,-3.80677733
170548,160473.0,-10075.0,-5.90742782
192466,183215.0,-9251.0,-4.80656324
201266,192889.0,-8377.0,-4.16215357
2484834,2330491.0,-154343.0,-6.21140084
