Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
80406,76693,-3713,-4.61781459
70912,67115,-3797,-5.35452392
59338,55491,-3847,-6.48319795
60340,56455,-3885,-6.43851508
53279,49339,-3940,-7.39503369
52817,48674,-4143,-7.84406536
50219,46360,-3859,-7.68434258
48853,44941,-3912,-8.00769656
48094,44325,-3769,-7.83673639
81877,77782,-4095,-5.00140455
106367,102637,-3730,-3.50672671
135982,132755,-3227,-2.37310821
93572,89890,-3682,-3.9349378
62682,58968,-3714,-5.92514597
67511,64169,-3342,-4.95030439
59511,56356,-3155,-5.30154089
1131760,1071950,-59810,-5.28468933
