Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
16127,14965,-1162,-7.20530787
14016,13017,-999,-7.12756849
14080,13030,-1050,-7.45738636
13607,12450,-1157,-8.50297641
15380,14199,-1181,-7.67880364
15283,14034,-1249,-8.17247923
15471,14215,-1256,-8.1184151
15020,13819,-1201,-7.99600533
16041,14847,-1194,-7.44342622
33899,32662,-1237,-3.64907519
46768,45789,-979,-2.09331167
71051,70400,-651,-0.91624326
61903,61147,-756,-1.22126553
48523,47597,-926,-1.90837335
67384,66597,-787,-1.16793304
86633,85953,-680,-0.7849203
551186,534721,-16465,-2.98719489
