Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
249754,240332,-9422,-3.77251215
197223,188540,-8683,-4.40263052
170853,161320,-9533,-5.57965034
188860,178753,-10107,-5.35158318
185571,175522,-10049,-5.41517802
188666,178384,-10282,-5.44984258
190053,179888,-10165,-5.34850805
194028,183646,-10382,-5.35077412
189301,178876,-10425,-5.50710245
348966,339761,-9205,-2.63779279
477428,470220,-7208,-1.50975644
635269,630245,-5024,-0.79084608
481997,475150,-6847,-1.42054826
333957,324829,-9128,-2.73328602
384718,376225,-8493,-2.20759101
412927,404625,-8302,-2.01052486
4829571,4686316,-143255,-2.96620549
