Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
122382,117178,-5204,-4.25225932
81966,76838,-5128,-6.25625259
77121,71667,-5454,-7.07200373
84310,78920,-5390,-6.39307318
81625,76109,-5516,-6.75773354
83492,77887,-5605,-6.71321803
87115,81490,-5625,-6.45698215
83552,78213,-5339,-6.39003255
84905,79370,-5535,-6.5190507
154155,149077,-5078,-3.29408712
202917,198658,-4259,-2.09888772
267740,264270,-3470,-1.29603347
196971,192434,-4537,-2.30338476
136731,131788,-4943,-3.61512751
154304,149742,-4562,-2.95650145
171104,166649,-4455,-2.60367963
2070390,1990290,-80100,-3.86883631
